iter	Passed	Remaining
691	1630	725
692	1632	723
693	1634	720
694	1636	718
695	1639	715
696	1641	713
697	1644	711
698	1646	709
699	1649	706
700	1651	704
701	1654	702
702	1657	700
703	1659	697
704	1662	695
705	1664	693
706	1667	691
707	1669	688
708	1671	686
709	1673	683
710	1676	681
711	1678	679
712	1681	676
713	1683	674
714	1685	671
715	1687	669
716	1690	667
717	1692	664
718	1694	662
719	1696	659
720	1699	657
721	1701	655
722	1703	652
723	1705	650
724	1708	647
725	1710	645
726	1712	643
727	1714	640
728	1716	638
729	1719	635
730	1721	633
731	1723	631
732	1725	628
733	1727	626
734	1730	623
735	1732	621
736	1734	618
737	1736	616
738	1738	614
739	1741	611
740	1743	609
741	1745	606
742	1747	604
743	1749	602
744	1751	599
745	1754	597
746	1756	594
747	1758	592
748	1760	590
749	1762	587
750	1765	585
751	1767	583
752	1770	580
753	1772	578
754	1774	575
755	1776	573
756	1778	571
757	1781	568
758	1783	566
759	1785	563
760	1787	561
761	1789	559
762	1791	556
763	1794	554
764	1796	551
765	1798	549
766	1800	547
767	1802	544
768	1805	542
769	1807	539
770	1810	537
771	1812	535
772	1815	533
773	1818	530
774	1820	528
775	1823	526
776	1826	524
777	1828	521
778	1831	519
779	1834	517
780	1837	515
781	1839	512
782	1841	510
783	1844	508
784	1846	505
785	1848	503
786	1850	500
787	1853	498
788	1855	496
789	1857	493
790	1859	491
791	1862	489
792	1864	486
793	1866	484
794	1868	481
795	1870	479
796	1873	477
797	1875	474
798	1877	472
799	1879	469
800	1881	467
801	1884	465
802	1886	462
803	1888	460
804	1890	457
805	1892	455
806	1894	453
807	1897	450
808	1899	448
809	1901	445
810	1903	443
811	1910	442
812	1912	439
813	1914	437
814	1916	435
815	1918	432
816	1921	430
817	1923	427
818	1925	425
819	1927	423
820	1929	420
821	1931	418
822	1934	415
823	1936	413
824	1938	411
825	1940	408
826	1943	406
827	1945	404
828	1947	401
829	1949	399
830	1951	396
831	1953	394
832	1955	392
833	1958	389
834	1960	387
835	1962	384
836	1964	382
837	1966	380
838	1969	377
839	1971	375
840	1974	373
841	1976	370
842	1979	368
843	1982	366
844	1984	364
845	1987	361
846	1990	359
847	1992	357
848	1995	354
849	1998	352
850	2002	350
851	2004	348
852	2006	345
853	2008	343
854	2011	341
855	2013	338
856	2015	336
857	2018	334
858	2020	331
859	2022	329
860	2024	326
861	2027	324
862	2029	322
863	2031	319
864	2033	317
865	2036	315
866	2038	312
867	2040	310
868	2042	307
869	2045	305
870	2047	303
871	2049	300
872	2051	298
873	2054	296
874	2056	293
875	2058	291
876	2060	289
877	2062	286
878	2065	284
879	2067	281
880	2069	279
881	2071	277
882	2074	274
883	2076	272
884	2078	270
885	2080	267
886	2082	265
887	2085	262
888	2086	260
889	2089	258
890	2091	255
891	2093	253
892	2095	251
893	2097	248
894	2100	246
895	2102	244
896	2104	241
897	2106	239
898	2109	236
899	2111	234
900	2114	232
901	2116	229
902	2118	227
903	2120	225
904	2123	222
905	2125	220
906	2127	218
907	2129	215
908	2131	213
909	2134	211
910	2137	208
911	2139	206
912	2142	204
913	2144	201
914	2147	199
915	2150	197
916	2153	194
917	2156	192
918	2158	190
919	2160	187
920	2162	185
921	2165	183
922	2167	180
923	2169	178
924	2171	176
925	2173	173
926	2176	171
927	2178	169
928	2180	166
929	2182	164
930	2184	161
931	2187	159
932	2189	157
933	2191	154
934	2193	152
935	2196	150
936	2198	147
937	2200	145
938	2202	143
939	2204	140
940	2207	138
941	2209	136
942	2211	133
943	2213	131
944	2215	128
945	2218	126
946	2220	124
947	2222	121
948	2224	119
949	2226	117
950	2228	114
951	2231	112
952	2233	110
953	2235	107
954	2237	105
955	2239	103
956	2242	100
957	2244	98
958	2253	96
959	2255	93
960	2257	91
961	2259	89
962	2261	86
963	2264	84
964	2266	82
965	2268	79
966	2270	77
967	2272	75
968	2275	72
969	2277	70
970	2279	68
971	2281	65
972	2283	63
973	2286	61
974	2288	58
975	2290	56
976	2292	53
977	2294	51
978	2297	49
979	2300	46
980	2303	44
981	2309	42
982	2311	39
983	2314	37
984	2317	35
985	2319	32
986	2322	30
987	2325	28
988	2327	25
989	2330	23
990	2332	21
991	2334	18
992	2337	16
993	2339	14
994	2341	11
995	2343	9
996	2346	7
997	2348	4
998	2351	2
999	2353	0
